3 választási eredmény
Párt1 - 128893
Párt2 - 119649
Párt3 - 55756
Párt4 - 2303
Párt5 - 98198
Párt6 - 23052
Párt7 - 128076
Párt8 - 151611
Párt9 - 95670
Párt10 - 11942
Párt11 - 5131
Párt12 - 151751
Párt13 - 94381
Párt14 - 7190897
Párt15 - 65836
Párt16 - 171635
Párt17 - 195067
Párt18 - 38417
Párt19 - 25011
Párt20 - 98429
Párt21 - 129617
Párt22 - 114813
Párt23 - 138888
Párt24 - 96386
Párt25 - 110506
Párt26 - 81019
Párt27 - 10545
Párt28 - 2739
Párt29 - 106854
Párt30 - 57965
Párt31 - 39924
Párt32 - 4402
Párt33 - 165458
Párt34 - 94746
Párt35 - 121162
Párt36 - 48841
Párt37 - 58298
Párt38 - 194852
Párt39 - 177757
Párt40 - 162623
Párt41 - 82759
Párt42 - 161393
Párt43 - 98459
Párt44 - 130267
Párt45 - 12898
Párt46 - 34294
Párt47 - 76691
Párt48 - 68319
Párt49 - 194071
Párt50 - 120051
Párt51 - 14220
Párt52 - 94330
Párt53 - 24813
Párt54 - 160863
Párt55 - 120652
Párt56 - 161229
Párt57 - 32565
Párt58 - 121296
Párt59 - 131424
Párt60 - 86287
Párt61 - 87248
